,Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurence,Location Type,UCR Literal,IBR Code,Neighborhood,NPU,Latitude,Longitude
0,90010930,2009-01-01,2009-01-01,1145,2009-01-01,1148.0,411.0,,,2841 GREENBRIAR PKWY,Day Watch,8,LARCENY-NON VEHICLE,2303,Greenbriar,R,33.68845,-84.49328
1,90011083,2009-01-01,2009-01-01,1330,2009-01-01,1330.0,511.0,,,12 BROAD ST SW,Day Watch,9,LARCENY-NON VEHICLE,2303,Downtown,M,33.7532,-84.39201
2,90011208,2009-01-01,2009-01-01,1500,2009-01-01,1520.0,407.0,,,3500 MARTIN L KING JR DR SW,Unknown,8,LARCENY-NON VEHICLE,2303,Adamsville,H,33.75735,-84.50282
3,90011218,2009-01-01,2009-01-01,1450,2009-01-01,1510.0,210.0,,,3393 PEACHTREE RD NE,Evening Watch,8,LARCENY-NON VEHICLE,2303,Lenox,B,33.84676,-84.36212
4,90011289,2009-01-01,2009-01-01,1600,2009-01-01,1700.0,411.0,,,2841 GREENBRIAR PKWY SW,Unknown,8,LARCENY-NON VEHICLE,2303,Greenbriar,R,33.68677,-84.49773
5,90011327,2009-01-01,2009-01-01,1645,2009-01-01,1645.0,609.0,,,1217 CAROLINE ST NE,Evening Watch,24,LARCENY-NON VEHICLE,2303,Edgewood,O,33.75786,-84.34874999999998
6,90011450,2009-01-01,2009-01-01,1740,2009-01-01,1815.0,408.0,,,2685 METROPOLITAN PARKWAY,Evening Watch,12,LARCENY-NON VEHICLE,2303,Venetian Hills,S,33.70827,-84.45385
7,90011608,2009-01-01,2009-01-01,1627,2009-01-01,2110.0,210.0,,,3393 PEACHTREE RD,Evening Watch,8,LARCENY-NON VEHICLE,2303,Lenox,B,33.84676,-84.36212
8,90010721,2009-01-01,2009-01-01,0815,2009-01-01,820.0,411.0,,,3030 HEADLAND DR SW,Day Watch,12,LARCENY-NON VEHICLE,2303,Greenbriar,R,33.68841,-84.48742
9,90010108,2009-01-01,2008-12-31,2000,2009-01-01,100.0,507.0,,,360 MARIETTA ST NW,Morning Watch,18,LARCENY-FROM VEHICLE,2305,Downtown,M,33.76269,-84.39702
10,90010247,2009-01-01,2008-12-31,2300,2009-01-01,135.0,609.0,,,195 ARIZONA AVE NE,Morning Watch,13,LARCENY-FROM VEHICLE,2305,Edgewood,O,33.75902,-84.33119999999998
11,90010267,2009-01-01,2008-12-31,2230,2009-01-01,130.0,610.0,,,58 SAUNDERS ST NE,Morning Watch,20,LARCENY-FROM VEHICLE,2305,Kirkwood,O,33.75441,-84.32465
